umaban,horse_weight,zougen,result,age,weight,jockey,male,female,gelding,distance,frame_num,condition,past1_result,past2_result,past3_result,total_game,win1,win2,win3
7,504,14,0,7,57,0.232,1,0,0,2500,4,2,14,9,4,29,2,8,1
8,534,4,1,3,55,0.277,1,0,0,2500,4,2,4,1,5,6,4,0,0
9,446,0,0,5,57,0.224,1,0,0,2500,5,2,1,1,14,25,6,4,0
10,480,-2,0,4,57,0.276,1,0,0,2500,5,2,5,13,5,11,3,1,1
11,472,-2,0,5,57,0.405,1,0,0,2500,6,2,5,1,4,23,5,6,0
12,490,8,1,4,57,0.548,1,0,0,2500,6,2,1,1,4,11,7,1,1
13,460,-18,0,8,55,0.424,0,1,0,2500,7,2,9,8,10,34,9,5,2
14,506,2,0,4,57,0.436,1,0,0,2500,7,2,2,3,3,14,4,2,4
15,470,2,1,6,57,0.346,1,0,0,2500,8,2,4,4,2,27,7,6,6
16,486,18,0,7,57,0.338,1,0,0,2500,8,2,6,6,2,27,6,4,2
